AnimationName,Timestamp,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
Left180_3,0.2033553,,-0.1037389,0.01463861,-0.2103566,0.2822173,0.0627166,0.1314404,-0.0775217,1.394418,0.1185578,-0.6022871,0.004742108,-0.5600669,-0.01964718,-0.1120526,1.442241,0.026723,0.01760125,-0.01996346
Left180_3,0.2203045,,-0.1141204,0.01543439,-0.2179178,0.2823564,0.06130397,0.1484148,-0.07691665,1.394667,0.1189006,-0.5190738,0.03978871,-0.3780566,0.006952882,-0.07063132,0.8487165,0.03025271,0.01242757,0.01713894
Left180_3,0.2372549,,-0.1239388,0.01654745,-0.2252095,0.2819758,0.060766,0.1633303,-0.07636735,1.394826,0.1192252,-0.490918,0.055653,-0.3645889,-0.0190258,-0.02689864,0.7457786,0.02746508,0.007969141,0.01622811
Left180_3,0.2542045,,-0.1326459,0.01797874,-0.2312754,0.2824093,0.06037774,0.1725933,-0.07603718,1.394956,0.1194011,-0.4353564,0.07156479,-0.3032923,0.02167076,-0.01941286,0.4631482,0.01650862,0.006490946,0.008798763
Left180_3,0.2712765,,-0.1413003,0.0196907,-0.2369521,0.2827404,0.06029673,0.1808582,-0.07574604,1.395053,0.1194636,-0.43272,0.08559814,-0.2838343,0.01655966,-0.004050508,0.413242,0.01455694,0.004827976,0.003125146
Left180_3,0.2882203,,-0.1499358,0.02175908,-0.2412775,0.2829267,0.06017409,0.186376,-0.07553436,1.395167,0.1191929,-0.4317746,0.1034189,-0.2162717,0.009313226,-0.0061322,0.2758935,0.01058392,0.005733967,-0.01353696
Left180_3,0.3221897,,-0.1684855,0.02673354,-0.2473375,0.2813584,0.06106183,0.1917169,-0.07463985,1.395082,0.117434,-0.9274863,0.2487229,-0.302998,-0.07841736,0.04438702,0.2670422,0.04472546,-0.004291534,-0.08794479
Left180_3,0.3442886,,-0.1787136,0.02934236,-0.2490457,0.2811194,0.06201544,0.19082,-0.07423818,1.394912,0.1162432,-0.5114042,0.130441,-0.08541048,-0.01194626,0.04768074,-0.0448443,0.02008341,-0.008457899,-0.05954131
Left180_3,0.361239,,-0.1847472,0.03045934,-0.2494029,0.2817546,0.06264764,0.1881313,-0.07419265,1.394799,0.1156197,-0.3016822,0.05584899,-0.01786053,0.03175884,0.03161002,-0.1344353,0.002276525,-0.005668402,-0.03117137
Left180_3,0.378195,,-0.1902639,0.03239156,-0.2518528,0.2804975,0.06286307,0.1849692,-0.07342717,1.394792,0.1149194,-0.2758317,0.09661093,-0.1224928,-0.06285608,0.0107713,-0.1581021,0.03827401,-0.000333786,-0.03501885
Left180_3,0.3951718,,-0.1953992,0.03472487,-0.2553162,0.2789323,0.06345676,0.1819585,-0.07238473,1.394787,0.1141836,-0.2567649,0.1166653,-0.1731724,-0.07825792,0.0296846,-0.1505345,0.05212203,-0.0002563,-0.03679059
Left180_3,0.412136,,-0.200355,0.03579532,-0.2587654,0.2784792,0.06807975,0.1771575,-0.07114253,1.394285,0.1147548,-0.2477936,0.05352274,-0.1724601,-0.02265722,0.2311498,-0.2400532,0.0621099,-0.02512932,0.02856031
Left180_3,0.4291425,,-0.2052566,0.036511,-0.2621096,0.2774557,0.07451835,0.1708957,-0.06974079,1.393547,0.1159019,-0.2450757,0.03578383,-0.1672119,-0.05117208,0.3219295,-0.313089,0.07008724,-0.03687739,0.05735867
Left180_3,0.4630658,,-0.2138375,0.04117719,-0.2722591,0.2743318,0.07992351,0.1582051,-0.06936904,1.391284,0.1217974,-0.4290469,0.2333097,-0.507471,-0.156197,0.2702583,-0.6345287,0.01858734,-0.1131594,0.294774
Left180_3,0.4801173,,-0.2188032,0.04364258,-0.2760797,0.2729695,0.08056272,0.1519525,-0.06901782,1.390478,0.1241926,-0.2482861,0.1232695,-0.1910314,-0.06811768,0.03196038,-0.3126316,0.01756102,-0.04028082,0.1197584
Left180_3,0.5014448,,-0.2257017,0.04689744,-0.2802964,0.2704254,0.08084114,0.1435692,-0.06808819,1.38959,0.1271274,-0.3449246,0.1627432,-0.210838,-0.1272008,0.01392104,-0.4191644,0.04648156,-0.0444293,0.1467396
Left180_3,0.518396,,-0.2366183,0.05110722,-0.2829019,0.2618851,0.07974502,0.1306998,-0.06336975,1.38897,0.1316231,-0.5458318,0.2104888,-0.1302749,-0.4270166,-0.0548061,-0.6434709,0.2359219,-0.03099442,0.2247855
Left180_3,0.5353441,,-0.2471323,0.05548069,-0.2850352,0.2537093,0.07880422,0.1180943,-0.05865449,1.388348,0.1358606,-0.5256996,0.2186734,-0.106664,-0.408788,-0.04703999,-0.6302741,0.235763,-0.03110766,0.2118766
Left180_3,0.5522949,,-0.2544413,0.0597462,-0.2843192,0.2470735,0.07481908,0.1058923,-0.05419897,1.388366,0.1384841,-0.3654495,0.2132755,0.03580302,-0.33179,-0.1992568,-0.6101016,0.2227763,0.0009059906,0.1311749
Left180_3,0.5692425,,-0.2612844,0.06398149,-0.2835726,0.2412305,0.07146107,0.0942528,-0.05022739,1.388313,0.1409076,-0.342153,0.2117645,0.03732741,-0.2921522,-0.1679003,-0.5819734,0.198579,-0.002664328,0.1211733
Left180_3,0.6031441,,-0.2703144,0.07203311,-0.2820205,0.2385515,0.06754982,0.07457606,-0.04783508,1.388034,0.1440908,-0.4515022,0.4025813,0.07760674,-0.1339525,-0.1955625,-0.9838369,0.1196153,-0.01395345,0.1591593
Left180_3,0.6200922,,-0.2768042,0.0768423,-0.2783433,0.2367796,0.06468405,0.06353991,-0.04616074,1.387812,0.145488,-0.3244892,0.2404593,0.1838565,-0.08859485,-0.1432888,-0.5518075,0.08371696,-0.01106262,0.06986186
Left180_3,0.637041,,-0.2830199,0.08165181,-0.2752261,0.2344224,0.06205038,0.05309713,-0.04369981,1.387431,0.1475112,-0.3107846,0.2404757,0.1558647,-0.117857,-0.1316832,-0.5221393,0.1230465,-0.0190556,0.101161
Left180_3,0.6562332,,-0.2896291,0.0866878,-0.2741477,0.2299228,0.05953462,0.04367295,-0.03783217,1.386418,0.1524125,-0.3304586,0.2517991,0.05391985,-0.2249792,-0.1257883,-0.471209,0.2933821,-0.05064011,0.245063
Left180_3,0.6731856,,-0.2952439,0.09034068,-0.2710987,0.2269164,0.0573835,0.0359346,-0.03329742,1.38604,0.1550104,-0.2807394,0.1826443,0.1524463,-0.1503199,-0.107556,-0.3869176,0.2267372,-0.01890659,0.1298949
Left180_3,0.6901325,,-0.3004923,0.09260575,-0.2648247,0.2255439,0.05525716,0.02904922,-0.02988015,1.386588,0.1549342,-0.2624199,0.1132537,0.3137007,-0.06862879,-0.1063168,-0.3442688,0.1708638,0.02738833,-0.003809482
Left180_3,0.7240313,,-0.3098403,0.09520605,-0.2450761,0.222993,0.04714667,0.009501337,-0.02541275,1.387967,0.1543396,-0.4674003,0.1300149,0.9874284,-0.1275405,-0.4055245,-0.9773942,0.2233701,0.06893873,-0.02973154
Left180_3,0.7409825,,-0.3134305,0.09594019,-0.2347945,0.221955,0.04345603,0.001105788,-0.02411755,1.388442,0.1538327,-0.1795113,0.03670678,0.5140804,-0.05190447,-0.1845321,-0.4197775,0.06475998,0.02378225,-0.02534166
Left180_3,0.7579496,,-0.3161187,0.09654694,-0.2256004,0.2210325,0.04071752,-0.007200074,-0.02334122,1.388703,0.1535022,-0.1344115,0.03033765,0.4597068,-0.04612431,-0.1369255,-0.4152931,0.0388165,0.01304746,-0.01652688
Left180_3,0.7749809,,-0.3186567,0.09711731,-0.2155688,0.220226,0.03803015,-0.01550961,-0.02252748,1.388914,0.1530666,-0.1269013,0.02851859,0.5015828,-0.04032254,-0.1343686,-0.4154767,0.04068697,0.01055002,-0.02177805
Left180_3,0.7919609,,-0.3210159,0.09769055,-0.2047249,0.2195631,0.03539716,-0.0237522,-0.0216798,1.389067,0.1525211,-0.1179591,0.02866164,0.5421907,-0.03314465,-0.1316493,-0.4121295,0.04238384,0.007629395,-0.02727732
Left180_3,0.8123469,,-0.3243182,0.09843972,-0.1878701,0.2176761,0.03140103,-0.03546694,-0.01983146,1.389252,0.1515398,-0.1651153,0.03745854,0.8427434,-0.09434968,-0.1998065,-0.5857369,0.0924171,0.009268522,-0.04906282
Left180_3,0.8292946,,-0.327068,0.0993323,-0.1716856,0.2155002,0.02767026,-0.046082,-0.01785113,1.389354,0.1504803,-0.1374885,0.04462935,0.8092232,-0.1087949,-0.1865386,-0.5307533,0.09901645,0.005072355,-0.05297437
Left180_3,0.8639449,,-0.3296238,0.09883533,-0.1436031,0.2125049,0.02261761,-0.06398229,-0.01537662,1.389079,0.149468,-0.1277879,-0.02484843,1.404127,-0.1497664,-0.2526323,-0.8950146,0.1237253,-0.01374483,-0.05061775
Left180_3,0.8809001,,-0.3308366,0.09760959,-0.1299069,0.2110032,0.02032829,-0.07168385,-0.01429792,1.388839,0.149178,-0.06064028,-0.06128736,0.6848075,-0.07508323,-0.1144662,-0.3850777,0.0539354,-0.01199245,-0.01449734
Left180_3,0.8978719,,-0.3319661,0.09642178,-0.1159508,0.2094642,0.01804276,-0.07914355,-0.01319116,1.388554,0.1488765,-0.0564754,-0.05939044,0.6978054,-0.07695258,-0.1142764,-0.372985,0.05533784,-0.01423359,-0.01507923
Left180_3,0.9148981,,-0.3313209,0.09349379,-0.0969926,0.207034,0.01564277,-0.08909546,-0.01275411,1.388187,0.1486992,0.03225654,-0.1463994,0.9479105,-0.12151,-0.1199996,-0.4975956,0.02185246,-0.01838207,-0.008862466
Left180_3,0.9318473,,-0.3302066,0.09083363,-0.07706513,0.2044847,0.01326861,-0.09916808,-0.01237385,1.387725,0.1485163,0.05571842,-0.1330081,0.9963736,-0.127466,-0.118708,-0.5036313,0.01901309,-0.0230968,-0.009143353
Left180_3,0.9631934,,-0.3306901,0.0872727,-0.0492921,0.200711,0.01043106,-0.1106622,-0.01252971,1.386612,0.1478348,-0.02417415,-0.1780465,1.388652,-0.1886822,-0.1418774,-0.5747035,-0.007793261,-0.05564094,-0.03407598
Left180_3,0.9833227,,-0.330694,0.0852216,-0.03052022,0.1978178,0.008340287,-0.117068,-0.01274959,1.385904,0.1475368,-0.0001981854,-0.102555,0.9385939,-0.1446597,-0.1045387,-0.3202915,-0.01099366,-0.03540516,-0.01490265
Left180_3,1.000831,,-0.3306368,0.08385687,-0.01355771,0.1953574,0.006382979,-0.1223805,-0.01290954,1.385281,0.1472089,0.002859533,-0.06823651,0.8481253,-0.1230225,-0.09786543,-0.2656277,-0.007997639,-0.03112555,-0.01639128
Left180_3,1.017798,,-0.330136,0.08274139,0.008695416,0.1931871,0.002459692,-0.1268674,-0.01226243,1.385457,0.144648,0.02503991,-0.05577393,1.112656,-0.1085125,-0.1961643,-0.2243429,0.03235536,0.008785725,-0.1280464
Left180_3,1.034807,,-0.3293008,0.08225749,0.03073317,0.1915588,-0.001256068,-0.1312055,-0.01190767,1.38555,0.1422211,0.0417605,-0.02419502,1.101888,-0.08141696,-0.185788,-0.2169058,0.01773797,0.004637241,-0.1213454
Left180_3,1.051784,,-0.3264785,0.08073458,0.0461273,0.1910173,-0.003293364,-0.1358516,-0.0128803,1.385626,0.1414608,0.141114,-0.07614531,0.7697065,-0.02707615,-0.1018648,-0.2323039,-0.0486312,0.003832579,-0.03801659
Left180_3,1.06877,,-0.3234723,0.07952255,0.06162701,0.1906073,-0.005122466,-0.1406255,-0.0139125,1.385587,0.1409002,0.150311,-0.06060153,0.7749854,-0.02050027,-0.0914551,-0.238695,-0.05161041,-0.001955032,-0.02802983
Left180_3,1.102767,,-0.3155367,0.07711469,0.09327535,0.1881623,-0.006573819,-0.1522619,-0.01594874,1.38443,0.1423484,0.3967807,-0.1203932,1.582417,-0.1222469,-0.07256763,-0.5818218,-0.1018116,-0.05785823,0.07240996
Left180_3,1.119758,,-0.308648,0.07567647,0.1125585,0.1868714,-0.006449619,-0.157992,-0.01745518,1.383779,0.1437216,0.3444329,-0.07191077,0.9641595,-0.06454587,0.006209989,-0.2865046,-0.0753222,-0.03257394,0.06866083
Left180_3,1.138845,,-0.3015771,0.07490017,0.1321283,0.1856486,-0.006043631,-0.1641246,-0.01880242,1.383127,0.1456099,0.3535494,-0.03881492,0.9784889,-0.06114095,0.02029941,-0.3066294,-0.067362,-0.03259778,0.09441748
Left180_3,1.155795,,-0.2962123,0.07407843,0.1443856,0.1851244,-0.00512957,-0.1689139,-0.01952823,1.38276,0.1479295,0.2682373,-0.04108697,0.6128624,-0.0262104,0.04570305,-0.2394661,-0.03629066,-0.01835823,0.1159795
Left180_3,1.172744,,-0.2898979,0.07364786,0.1579868,0.1845895,-0.004269169,-0.1741217,-0.02084041,1.382082,0.1499664,0.3157198,-0.02152883,0.6800607,-0.02674386,0.04302005,-0.2603866,-0.06560888,-0.0338912,0.1018457
Left180_3,1.189715,,-0.2825322,0.07231122,0.1682495,0.184479,-0.002946039,-0.179622,-0.02301999,1.381381,0.1520207,0.3682837,-0.06683208,0.5131349,-0.005526841,0.06615649,-0.2750181,-0.1089787,-0.03501773,0.1027107
Left180_3,1.223727,,-0.2615365,0.06901547,0.1906962,0.1838109,0.0005500202,-0.1914639,-0.02905303,1.379882,0.1559112,1.049787,-0.1647871,1.122336,-0.03340095,0.174803,-0.5920947,-0.3016523,-0.07497668,0.1945272
Left180_3,1.240729,,-0.2505508,0.06767457,0.2003856,0.1829654,0.002496011,-0.1969437,-0.0321082,1.379207,0.1577728,0.5492851,-0.06704517,0.484471,-0.04227608,0.09729953,-0.2739884,-0.1527583,-0.03373623,0.09308085
Left180_3,1.257705,,-0.239964,0.06640004,0.2075258,0.1816893,0.004480207,-0.2016029,-0.0348628,1.378696,0.1595432,0.5293399,-0.06372668,0.3570087,-0.06380528,0.09920982,-0.2329588,-0.1377299,-0.02554059,0.08851886
Left180_3,1.274769,,-0.2281145,0.0645725,0.2134735,0.1802222,0.006635804,-0.2059138,-0.03792268,1.378308,0.1613249,0.5924769,-0.0913769,0.2973855,-0.07335693,0.1077798,-0.2155468,-0.1529939,-0.01941919,0.08908659
Left180_3,1.295895,,-0.2119669,0.06151295,0.2189813,0.1781867,0.009508827,-0.2106979,-0.04212881,1.377963,0.1636044,0.80738,-0.1529772,0.2753921,-0.1017764,0.1436511,-0.2392069,-0.2103068,-0.01723766,0.1139753
Left180_3,1.312846,,-0.1934388,0.05813119,0.2228904,0.1754124,0.01225174,-0.2165385,-0.04706523,1.377728,0.1655141,0.9264037,-0.1690881,0.1954526,-0.1387134,0.1371457,-0.292027,-0.2468208,-0.01174808,0.09548217
Left180_3,1.329796,,-0.1735746,0.05481018,0.2258643,0.1721891,0.01516108,-0.2229825,-0.05244137,1.377401,0.1675935,0.9932094,-0.1660503,0.1486935,-0.1611665,0.145467,-0.3222011,-0.2688073,-0.01636147,0.1039706
Left180_3,1.363744,,-0.1374739,0.0474974,0.220864,0.1672456,0.02134181,-0.238349,-0.06124451,1.376717,0.1730722,1.805034,-0.3656393,-0.2500132,-0.247173,0.3090364,-0.768324,-0.440157,-0.03421903,0.2739355
Left180_3,1.380708,,-0.1231746,0.0436016,0.2145424,0.1649786,0.02434393,-0.2461561,-0.06440639,1.376598,0.1757289,0.7149678,-0.1947898,-0.3160782,-0.1133509,0.1501061,-0.3903583,-0.1580941,-0.005954504,0.1328327
Left180_3,1.397658,,-0.109712,0.03986541,0.2073096,0.1626687,0.02737116,-0.2539174,-0.06729732,1.376475,0.1783985,0.6731272,-0.1868097,-0.3616415,-0.1154959,0.1513614,-0.3880613,-0.1445465,-0.006127357,0.1334809
Left180_3,1.41471,,-0.09380057,0.03753173,0.2000274,0.160005,0.03088998,-0.2638293,-0.07372644,1.375405,0.1810642,0.795573,-0.1166841,-0.3641091,-0.1331814,0.175941,-0.4955977,-0.3214557,-0.05350113,0.1332842
Left180_3,1.431709,,-0.07798707,0.03568926,0.1925288,0.1571897,0.03468979,-0.2741136,-0.08061704,1.374017,0.1838586,0.7906746,-0.09212326,-0.3749326,-0.1407646,0.1899904,-0.5142137,-0.3445301,-0.06941557,0.1397215
Left180_3,1.450551,,-0.06541838,0.03669922,0.1855006,0.1515797,0.03685876,-0.2815404,-0.08409477,1.372104,0.1877135,0.6284345,0.05049799,-0.3514074,-0.2805009,0.1084488,-0.3713414,-0.1738865,-0.09561777,0.1927458
Left180_3,1.467679,,-0.05519185,0.0379274,0.1789428,0.1462257,0.0387696,-0.2877695,-0.08667627,1.370292,0.1913457,0.5113267,0.06140899,-0.3278926,-0.2677001,0.09554196,-0.3114551,-0.129075,-0.0905931,0.1816109
Left180_3,1.501702,,-0.04372144,0.03857333,0.1647068,0.1381343,0.04442401,-0.2950448,-0.08827862,1.366942,0.1990763,0.5735205,0.03229659,-0.7117987,-0.4045725,0.2827205,-0.3637627,-0.08011758,-0.167501,0.3865287
Left180_3,1.518683,,-0.03832309,0.03810718,0.1526209,0.1371242,0.04915429,-0.3010534,-0.08841725,1.36524,0.2041948,0.2699176,-0.02330747,-0.6042972,-0.05050376,0.2365137,-0.3004327,-0.006931648,-0.08513927,0.2559245
Left180_3,1.535644,,-0.03362598,0.03778277,0.1406957,0.1361401,0.05394909,-0.3065117,-0.08855601,1.363624,0.2089613,0.2348555,-0.01622047,-0.5962588,-0.04920363,0.2397403,-0.2729133,-0.006937608,-0.08075833,0.2383254
Left180_3,1.552745,,-0.03028875,0.03711792,0.1302955,0.1381705,0.05838889,-0.3105975,-0.09004278,1.362721,0.2116923,0.1668613,-0.03324281,-0.5200103,0.1015164,0.22199,-0.204289,-0.07433854,-0.04515052,0.1365483
Left180_3,1.569693,,-0.02737574,0.03660641,0.1201964,0.140371,0.06294262,-0.3142496,-0.09162399,1.361826,0.2142201,0.1456506,-0.02557524,-0.5049512,0.1100279,0.2276866,-0.1826078,-0.07906072,-0.04478097,0.1263909
Left180_3,1.586705,,-0.02530742,0.03604828,0.1112268,0.1444016,0.06777249,-0.316819,-0.09407394,1.36102,0.2158975,0.1034159,-0.02790671,-0.448484,0.2015293,0.2414934,-0.1284689,-0.1224976,-0.0402987,0.08387193
Left180_3,1.623699,,-0.01950312,0.03398569,0.08561845,0.1537281,0.08081802,-0.3182365,-0.09974755,1.359398,0.2190007,0.2902149,-0.1031296,-1.280416,0.4663244,0.6522763,-0.07087439,-0.2836805,-0.08108616,0.1551606
Left180_3,1.64065,,-0.01769565,0.03300267,0.07285906,0.1577484,0.08736219,-0.3173604,-0.101336,1.358637,0.2206884,0.09037368,-0.04915074,-0.6379697,0.2010174,0.3272083,0.04380643,-0.07942468,-0.03805757,0.08438155
Left180_3,1.657666,,-0.01716045,0.032196,0.06084849,0.1613333,0.09364342,-0.3158725,-0.1015474,1.357838,0.2228299,0.02675978,-0.04033353,-0.6005284,0.1792453,0.3140617,0.07439256,-0.01056679,-0.03993511,0.1070768
Left180_3,1.674681,,-0.01714562,0.03188267,0.05050466,0.1638516,0.09935475,-0.3137613,-0.1008009,1.357179,0.2244823,0.0007417984,-0.01566634,-0.5171914,0.1259148,0.2855666,0.1055613,0.0373248,-0.03295541,0.08261949
Left180_3,1.691728,,-0.01777069,0.0320168,0.04208073,0.1653834,0.1043414,-0.310954,-0.09894064,1.356681,0.2255268,-0.0312536,0.006706081,-0.4211966,0.07658899,0.2493318,0.140363,0.0930123,-0.02493262,0.05222708
Left180_3,1.708733,,-0.01760684,0.03201717,0.03285728,0.1678847,0.1091156,-0.3061803,-0.09849894,1.356898,0.2246196,0.008192658,1.881272E-05,-0.4611725,0.1250654,0.2387129,0.2386853,0.02208501,0.01088381,-0.04535988
Left180_3,1.742737,,-0.01637014,0.03285018,0.01410488,0.1753198,0.1158056,-0.293782,-0.09980959,1.358508,0.2199563,0.06183488,0.04165042,-0.9376199,0.3717519,0.3344987,0.6199166,-0.0655327,0.08046627,-0.2331674
Left180_3,1.763214,,-0.01614067,0.03491696,0.00471973,0.179801,0.1157832,-0.2873655,-0.09964398,1.35931,0.2183128,0.01147343,0.1033388,-0.4692577,0.2240635,-0.001121312,0.320825,0.008280948,0.04011989,-0.0821732
Left180_3,1.780165,,-0.01614077,0.03501585,-0.002213473,0.185017,0.1157404,-0.2813352,-0.1000075,1.360411,0.2162127,-4.749745E-06,0.00494495,-0.3466601,0.2607994,-0.002139807,0.3015161,-0.01817383,0.05505681,-0.1050062
Left180_3,1.797673,,-0.01616976,0.03473314,-0.009074562,0.1908471,0.115779,-0.2748741,-0.1005415,1.36163,0.2138377,-0.001449604,-0.01413599,-0.3430545,0.2915032,0.001928955,0.3230527,-0.02670325,0.06094575,-0.1187503
Left180_3,1.814683,,-0.01585153,0.03291978,-0.01780815,0.198502,0.1144005,-0.2627474,-0.1018542,1.363266,0.2103107,0.01591155,-0.09066798,-0.4366795,0.3827453,-0.06892532,0.6063372,-0.06563216,0.0818193,-0.1763508
Left180_3,1.831631,,-0.01522587,0.03100588,-0.0267836,0.2064342,0.113096,-0.2496526,-0.1033614,1.364873,0.206601,0.03128299,-0.09569498,-0.4487723,0.3966101,-0.06522387,0.6547377,-0.07536076,0.08034706,-0.1854852
Left180_3,1.848634,,-0.01521834,0.02958818,-0.03267754,0.2128395,0.111399,-0.2383825,-0.1041226,1.366554,0.2026438,0.000376394,-0.07088482,-0.2946972,0.3202647,-0.08484945,0.5635046,-0.03806204,0.08402467,-0.1978599
Left180_3,1.882627,,-0.01557408,0.02667447,-0.04401789,0.2244455,0.1079121,-0.2156709,-0.104975,1.369838,0.1949954,-0.01778696,-0.1456857,-0.5670175,0.5803027,-0.1743447,1.135582,-0.04261732,0.1642168,-0.3824174
Left180_3,1.899598,,-0.01586382,0.02513395,-0.04981371,0.2297274,0.1061535,-0.2039902,-0.10511,1.371434,0.1913486,-0.014487,-0.07702569,-0.2897911,0.2640918,-0.08792989,0.5840331,-0.006752089,0.07978082,-0.1823403
Left180_3,1.918414,,-0.01685166,0.02234883,-0.05884184,0.235627,0.1033254,-0.1857692,-0.104415,1.373723,0.1863087,-0.04939213,-0.1392561,-0.4514065,0.2949812,-0.1414046,0.9110495,0.03474839,0.1144469,-0.251995
Left180_3,1.93558,,-0.01734591,0.01993058,-0.06662837,0.2406613,0.1010916,-0.1686954,-0.1038697,1.375631,0.1817287,-0.02471218,-0.1209124,-0.3893262,0.2517164,-0.111689,0.8536943,0.02726652,0.09543896,-0.229001
Left180_3,1.952572,,-0.01772607,0.01737336,-0.07133242,0.2429377,0.09917226,-0.1545098,-0.1033299,1.377098,0.1780867,-0.01900829,-0.127861,-0.2352029,0.1138203,-0.09596869,0.7092789,0.02699234,0.07331371,-0.1821011
Left180_3,1.969598,,-0.01802903,0.0148877,-0.0761541,0.2448814,0.09739519,-0.140036,-0.1027895,1.378486,0.1744632,-0.01514796,-0.1242829,-0.2410837,0.09718537,-0.08885376,0.7236898,0.02701841,0.06940961,-0.1811728
Left180_3,2.00361,,-0.01979415,0.00965953,-0.0880647,0.2455333,0.09333618,-0.1082963,-0.1011599,1.381121,0.1677362,-0.08825576,-0.2614087,-0.5955302,0.03259107,-0.2029505,1.586985,0.08147806,0.131768,-0.336349
Left180_3,2.02058,,-0.02130909,0.006302027,-0.09723047,0.2434188,0.09084512,-0.08692055,-0.09954896,1.382528,0.1643399,-0.07574707,-0.1678751,-0.4582886,-0.1057252,-0.1245532,1.068787,0.0805486,0.0703156,-0.1698166
Left180_3,2.037576,,-0.02281302,0.003411664,-0.1059653,0.2408272,0.0887293,-0.06652355,-0.09797381,1.383785,0.161114,-0.07519647,-0.1445182,-0.4367396,-0.129576,-0.1057908,1.01985,0.07875748,0.0628531,-0.1612954
Left180_3,2.054565,,-0.0252368,0.001052272,-0.1134698,0.2376083,0.08641174,-0.04943852,-0.09643994,1.384938,0.1584445,-0.121189,-0.1179696,-0.3752269,-0.1609452,-0.1158778,0.8542517,0.07669367,0.05768538,-0.1334764
Left180_3,2.073981,,-0.02799078,-0.001017289,-0.1222511,0.2337789,0.08401255,-0.0302852,-0.09442721,1.385913,0.1561138,-0.1376993,-0.103478,-0.4390672,-0.191471,-0.1199596,0.957666,0.1006361,0.04871488,-0.116533
Left180_3,2.090932,,-0.03080187,-0.002183228,-0.1302069,0.2304029,0.08201065,-0.01409373,-0.09223855,1.386353,0.1551149,-0.1405543,-0.05829698,-0.3977891,-0.1688004,-0.1000952,0.8095736,0.1094334,0.02202988,-0.04994273
Left180_3,2.107881,,-0.03487982,-0.003150863,-0.1389267,0.2263113,0.07957894,0.003610216,-0.0897869,1.386549,0.1547309,-0.2038977,-0.04838175,-0.4359908,-0.204581,-0.1215853,0.8851973,0.1225822,0.009799004,-0.01920015
Left180_3,2.14178,,-0.04457695,-0.003708371,-0.1567914,0.2163583,0.07474817,0.04073507,-0.08459686,1.386145,0.155536,-0.4848564,-0.02787539,-0.8932307,-0.4976489,-0.2415385,1.856243,0.2595022,-0.02018809,0.04025474
Left180_3,2.15873,,-0.04836491,-0.003358646,-0.1636462,0.2115149,0.07330722,0.05648274,-0.08246757,1.385673,0.156193,-0.1893982,0.01748624,-0.3427409,-0.2421677,-0.07204786,0.7873833,0.1064643,-0.02362728,0.03284812
Left180_3,2.17582,,-0.05225871,-0.002712877,-0.1710761,0.2064538,0.07228445,0.07131746,-0.08027826,1.385043,0.1573312,-0.1946896,0.03228844,-0.3714949,-0.253056,-0.05113818,0.7417362,0.1094654,-0.03148913,0.05691051
Left180_3,2.192874,,-0.05609451,-0.001731376,-0.1789436,0.2012388,0.07161402,0.08518672,-0.07806035,1.384274,0.1588786,-0.1917902,0.04907508,-0.3933758,-0.2607539,-0.03352165,0.6934628,0.1108956,-0.038445,0.07736757
Left180_3,2.209858,,-0.06000365,-0.0009439695,-0.1858733,0.1958236,0.07121775,0.09807603,-0.07567368,1.383544,0.1602657,-0.195457,0.03937032,-0.3464848,-0.2707556,-0.01981333,0.6444656,0.1193333,-0.03650784,0.06935522
Left180_3,2.229918,,-0.06473421,-0.000302134,-0.193336,0.1892647,0.0711663,0.1125019,-0.07269334,1.382715,0.1617679,-0.236528,0.03209177,-0.3731363,-0.3279485,-0.002572685,0.7212933,0.1490172,-0.04147291,0.07511228
Left180_3,2.263843,,-0.07515251,-0.000114208,-0.2007125,0.1740114,0.07174847,0.1332411,-0.0654003,1.382164,0.1621867,-0.5209148,0.009396299,-0.3688246,-0.7626653,0.02910867,1.036961,0.3646519,-0.02755523,0.0209406
Left180_3,2.280847,,-0.07995916,0.001397282,-0.203031,0.1676759,0.07139669,0.1379825,-0.06213804,1.382066,0.162252,-0.2403326,0.07557449,-0.1159273,-0.3167756,-0.01758896,0.237067,0.1631133,-0.004893541,0.003263354
Left180_3,2.297814,,-0.08482914,0.00345142,-0.2050045,0.1616546,0.07093246,0.1416342,-0.05897198,1.381968,0.1622894,-0.2434991,0.1027069,-0.09867251,-0.3010623,-0.02321154,0.1825862,0.1583027,-0.004893541,0.001868606
Left180_3,2.314808,,-0.0916685,0.006840011,-0.2085238,0.1562306,0.07018249,0.1419271,-0.05495412,1.381992,0.1621083,-0.3419679,0.1694295,-0.1759663,-0.2712011,-0.03749877,0.01464412,0.200893,0.001192093,-0.009052455
Left180_3,2.331837,,-0.09907573,0.01113845,-0.2119538,0.1508986,0.06937996,0.1417484,-0.05077737,1.381975,0.1618425,-0.3703613,0.2149221,-0.1714975,-0.2665989,-0.04012659,-0.008932501,0.2088377,-0.000834465,-0.01329035
Left180_3,2.348798,,-0.1053662,0.01366189,-0.2150483,0.1509836,0.07003649,0.1412432,-0.04808706,1.381975,0.1607219,-0.3145229,0.1261721,-0.1547255,0.004251301,0.03282651,-0.02526045,0.1345156,0,-0.05603284
